Sentiments,Reviews
positive,Thanks to seller..100 percent response in chat ..
negative,Don't buy anything from this seller .... sent me this useless bag instead of hair straightener...Very dishonest seller... Don't buy anything from his store . Very disappointed.
positive,it's a very very good for storage items highly recommended satisfied with your products 😍😍😍😍😍😍
positive,First of  all to talk about the product it was amazing especially the quality of the product
positive,"Sounds fine for the price range, has a deeper bass effect, overall fine original Gionee handfree.
Delivery was timely as well.
Seller was kind enough to send sim opening pin with each pack.
Recommended 👍"
positive,The potatoes were good and they were also fresh 
positive,this suit is very nice i like it very much And according to the price the quality of the cloth is also good and delivered on time i am so happy and lovely suit thanks daraz seller 😊😊
neutral,quality is ok
positive,"High waisted, high stretchable and totally awesome"
negative,pathetic option
negative,I’m very disappointed because one of the piece of the mirror is damage.
negative,Size does not fit
negative,it only had red blue and green color
neutral,it was shown as thick in the picture but not in the delivered product
positive,Good Product.Available at door step.The quality of onion is also best👍💯I also got discount which makes them cheaper than market.I am satisfied.
negative,fake item dont buy from this seller
negative,there is a huge dent on side egg trays are broken ice trays are Missing
negative,IT IS A DEFECT PIECE I USE ONLY  one time then it can't works
negative,worst quality not as shown in pic didnt have any flavour as said
positive,I recommended it
positive,Beuti full
positive,"The customer service was outstanding, and the product was exactly what I was looking for."
negative,"The bottle design of this fragrance was incredibly impractical. The sprayer was faulty, resulting in uneven distribution of the fragrance. Sometimes it would spray too much, while other times it would barely release any product. It made application frustrating and wasteful."
neutral,size medium quality no good not bad but ok h recommended h💯
positive,Best product 💜 Recommended 🙌💯❤️
negative,The mic is not working properly 
positive,good  in pakistan
positive,Nice sound quality in reasonable price very satisfied 😍👌
neutral,Front stitches are slightly opened... overall its soft and good for babies...
negative,as per you this is gaming mouse but it is simple optical mouse with LED lights. This is not fair. you should change its name. Gaming mouse is different from optical mouse. I think the matter should go to consumer court.
neutral,Nice but pic m Jo size tha woh nhi tha....yeh kafi small han ji.....
positive,nice quality but the stars are to much small❤️
neutral,"remote is not functioning , light is ok"
positive,satisfied! 
positive,Good Quality.. thanks
negative,"black order kia tha white bjay Baki overall better tha product pori the but quality low ha ear piece bht hard h ear ma dard honay lag jata h sound quality b achi ni kuch left wlay ma slow ha sound Baki OK ha  charging b sai nikal lata ha overall fine ha but quality bht low ha base bilkul b ni ha
buy at your own risk"
positive,I Received my order safely
positive,Nice bhot achi awaz he
negative,useless. waste of money!
positive,Thanks Bht achy hai jis Tara ka Btya hai Wsy e mily hai thanks youuuuuu 
positive,"Product is very good,  100% same as picture,  100% original,  100% recommended seller"
positive,Good condition  and product is new
positive,Product quality:10/10
negative,This product was in poor shape. It had scratches all over and it looked like a second hand product given to us after someone else had returned it. The screws given to set up the bar were crooked. The bar itself was out of shape and would not properly screw in with the base making it impossible for it to be drilled into a wall. And lastly the base was not straight either making the whole thing a big joke. I need a new one that isn't as messed up as this one you sent.
positive,amazing product nice result buttery timing is low
positive,This free fire shirt is awesome I I bought it for party. And my friends say that we should buy this t-shirt
positive,very good product received in time 
neutral,"Achi cheez he, time nikal jati he, bass acha he"
positive,good quality product.Thanks Daraz
neutral,Not as described .It is a protective spray. It is good .i like it.
positive,"Ma Sha Allah
bhut zaberdast cheez he
Market se kam Rate per bhi he aur Quality bhi bhut Nice he
Thanks Draz Team"
positive,stunning product Good job brother
negative,"fragrance is not good. Doesn't work on my hair. doesn't soften my hair. I'm giving review after using one and half bottle , that's why I'm giving one star only"
positive,I have bought two sets of these silicon lids. They are very thin and easily adjustable on bowls. They are transparent . And in this price I think not bad. You must buy this if you want some cheap lids.
positive,tast acha alu ka ❤
neutral,Its original but a bit expensive for just a cuff.
negative,expired item receive Ihave return this item
positive,Good Quality 👍👍👍 Same as Described 👍👍👍 Delivered on time 👍👍👍 Good Packaging 👍👍👍
neutral,"My Previous experience with other seller was very bad but this time it's Excellent Product working properly and received in awesome condition delivered on time. Experience with this Seller is very good, prompt response and send the product as I requested."
positive,chota packet bara damal Satisfied And fast delivery 
